subjectname,subjectcode,creditHour,Semester,collegename,programname,levelname
Nepali Patrakarita,NEP475.,3,7,Babai Multiple Campus,Bachelor of Education,Bachelor
Sirjanatmak Lekhan,NEP482.,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Nepali Rangamanch ra Natyabhinay,NEP483.,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Adhyapan Abhyas,NEP484.,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Adhyapan Abhyas,NEP485.,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Anubad Ra Kosh Bigyan,NEP451.,3,5,Babai Multiple Campus,Bachelor of Education,Bachelor
Adhunik Nepali Khanda Kavya,NEP452.,3,5,Babai Multiple Campus,Bachelor of Education,Bachelor
Aadhunik Nepali Natak ra Ekanki,NEP453.,3,5,Babai Multiple Campus,Bachelor of Education,Bachelor
Aitihasik Bhasa Bigyan ,NEP454.,3,5,Babai Multiple Campus,Bachelor of Education,Bachelor
Nepali Bhasa Sikshanka Adharbhut Paksha,NEP455.,3,5,Babai Multiple Campus,Bachelor of Education,Bachelor
Policy Planning In Education,EPM424,3,2,Babai Multiple Campus,Bachelor of Education,Bachelor
School Supervision,EPM425,3,2,Babai Multiple Campus,Bachelor of Education,Bachelor
Test Development and Assessment,EPM433,3,3,Babai Multiple Campus,Bachelor of Education,Bachelor
Curriculum Development in Nepal,EPM434,3,3,Babai Multiple Campus,Bachelor of Education,Bachelor
Teacher Professional Development,EPM435,3,3,Babai Multiple Campus,Bachelor of Education,Bachelor
Cotemporary Issues of Curriculum,EPM443,3,4,Babai Multiple Campus,Bachelor of Education,Bachelor
Diversity and Education,EPM444,3,4,Babai Multiple Campus,Bachelor of Education,Bachelor
Classroom Management,EPM445,3,4,Babai Multiple Campus,Bachelor of Education,Bachelor
Alternative Approaches in Education,EPM451.,3,5,Babai Multiple Campus,Bachelor of Education,Bachelor
Quality in Education,EPM473.,3,7,Babai Multiple Campus,Bachelor of Education,Bachelor
School Based Management,EPM475.,3,7,Babai Multiple Campus,Bachelor of Education,Bachelor
School Development Plan,EPM483.,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Technology in Education,EPM482.,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Students Teaching : On Campus,EPM484,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Students Teaching : Off-Campus,EPM485,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Fiction Study,ENG424,3,2,Babai Multiple Campus,Bachelor of Education,Bachelor
English for Academic Purpose ,ENG425,3,2,Babai Multiple Campus,Bachelor of Education,Bachelor
World Englishes,ENG433,3,3,Babai Multiple Campus,Bachelor of Education,Bachelor
Listening& Speaking for Academic Purpose,ENG434,3,3,Babai Multiple Campus,Bachelor of Education,Bachelor
Introduction to Translation Studies,ENG435,3,3,Babai Multiple Campus,Bachelor of Education,Bachelor
Media English,ENG443,3,4,Babai Multiple Campus,Bachelor of Education,Bachelor
Poetry Study,ENG444,3,4,Babai Multiple Campus,Bachelor of Education,Bachelor
Introduction to Eng. language Teaching,ENG445,3,4,Babai Multiple Campus,Bachelor of Education,Bachelor
Introduction to SLA,ENG472.,3,7,Babai Multiple Campus,Bachelor of Education,Bachelor
"Reading,Writing & Critical Thinking",ENG473.,3,7,Babai Multiple Campus,Bachelor of Education,Bachelor
Phonetics and Phonology,ENG474.,60,7,Babai Multiple Campus,Bachelor of Education,Bachelor
Language and Power,ENG475.,3,7,Babai Multiple Campus,Bachelor of Education,Bachelor
ELT Materials Design Seminar,ENG482.,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Creative Writi. Semi. & Workshop in Eng,ENG483.,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Student Teaching : On Campus,ENG484.,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Student Teaching : Off Campus,ENG485.,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Matrix Algebra,MATH424,3,2,Babai Multiple Campus,Bachelor of Education,Bachelor
Geometry for Teachers,MATH425,3,2,Babai Multiple Campus,Bachelor of Education,Bachelor
Algebra for Teachers,MATH433,3,3,Babai Multiple Campus,Bachelor of Education,Bachelor
Discrete Mathematics,MATH434,3,3,Babai Multiple Campus,Bachelor of Education,Bachelor
Graph Theory,MATH435,3,3,Babai Multiple Campus,Bachelor of Education,Bachelor
Trigonometry for Teachers,MATH443,3,4,Babai Multiple Campus,Bachelor of Education,Bachelor
Vector Analysis for Teachers,MATH444,3,4,Babai Multiple Campus,Bachelor of Education,Bachelor
Logic for Teachers ,MATH445,3,4,Babai Multiple Campus,Bachelor of Education,Bachelor
Differential Equations,MATH463.,3,6,Babai Multiple Campus,Bachelor of Education,Bachelor
Multivariable Calculus ,MATh464.,3,6,Babai Multiple Campus,Bachelor of Education,Bachelor
Compulsory Nepali,C.NEP412,3,1,Babai Multiple Campus,BA in IR,Bachelor
Theory of International Relations,IR413,3,1,Babai Multiple Campus,BA in IR,Bachelor
History of International Relations,IR414,3,1,Babai Multiple Campus,BA in IR,Bachelor
Foreign Policy,IR415,3,1,Babai Multiple Campus,BA in IR,Bachelor
Compulsory English I,C.ENG411,3,1,Babai Multiple Campus,BA in IR,Bachelor
Compulsory English II,C.ENG421,3,2,Babai Multiple Campus,BA in IR,Bachelor
Computers in Management,MGMT424,3,2,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Agri Business Management,MGMT425,3,2,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Company Account,MGMT431,3,3,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Cooperative Management,MGMT432,3,3,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Macro Economics,MGMT422,3,2,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Introduction to Finance  I,MGMT423,3,2,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Business Statistics I,MGMT421,3,2,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Teaching Practice off Campus ,MATH485.,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Inferential Statistics,MATH465.,3,6,Babai Multiple Campus,Bachelor of Education,Bachelor
Basic Topology,MATH472.,3,7,Babai Multiple Campus,Bachelor of Education,Bachelor
Complex Analysis,MATH473.,3,7,Babai Multiple Campus,Bachelor of Education,Bachelor
Operation Research,MATH474.,3,7,Babai Multiple Campus,Bachelor of Education,Bachelor
Theory of Mathematics Instruction,MATH475.,3,7,Babai Multiple Campus,Bachelor of Education,Bachelor
Teaching Material Development,MATH482.,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Instructional Design in Mathematics ,MATH483.,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Teaching Practice on Campus ,MATH484.,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Business Statistics II,MGMT433,3,3,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Risk and Disaster Management,MGMT434,3,3,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
E Commerce,MGMT435,3,3,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Introduction to Finance II,MGMT441,3,4,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Human Resource Management,MGMT442,3,4,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Introduction to Sociology,MGMT443,3,4,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Business Law,MGMT444,3,4,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
NGO Management,MGMT445,3,4,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Micro Finance in Nepal,MGMT465.,3,6,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Financial Institutions and Market,FIN475,3,7,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Human Resource Management,HRM475,3,7,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Industrial Relation and Labor Law,HRM476,3,7,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Sales Marketing,MKT476,3,7,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Labor Welfare Management,HRM485,3,8,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Compensation Managment,HRM486,3,8,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
State and International Relations,IR422,3,2,Babai Multiple Campus,BA in IR,Bachelor
Political Sys. & International Relations,IR423,3,2,Babai Multiple Campus,BA in IR,Bachelor
International Organization,IR424,3,2,Babai Multiple Campus,BA in IR,Bachelor
Regional Study : India and China,IR425,3,2,Babai Multiple Campus,BA in IR,Bachelor
Public International Law,IR431,3,3,Babai Multiple Campus,BA in IR,Bachelor
Dimension of Human Security,IR432,3,3,Babai Multiple Campus,BA in IR,Bachelor
Intro. to International Pol. Economy,IR433,3,3,Babai Multiple Campus,BA in IR,Bachelor
Human Rights,IR434,3,3,Babai Multiple Campus,BA in IR,Bachelor
Globalization,IR435,3,3,Babai Multiple Campus,BA in IR,Bachelor
Political Philosophy & Int. Relations,IR441,3,4,Babai Multiple Campus,BA in IR,Bachelor
Public Adm. & International Relations,IR442,3,4,Babai Multiple Campus,BA in IR,Bachelor
Comparative Foreign Policy,IR443,3,4,Babai Multiple Campus,BA in IR,Bachelor
Strategic Studies,IR444,3,4,Babai Multiple Campus,BA in IR,Bachelor
Nepals Foreign Policy,IR445,3,4,Babai Multiple Campus,BA in IR,Bachelor
International Politic of the Middle East,IR451,3,5,Babai Multiple Campus,BA in IR,Bachelor
Regionalism,IR452,3,5,Babai Multiple Campus,BA in IR,Bachelor
National Security,IR453,3,5,Babai Multiple Campus,BA in IR,Bachelor
Arms Control ,IR454,3,5,Babai Multiple Campus,BA in IR,Bachelor
The Politics of Cold War,IR455,3,5,Babai Multiple Campus,BA in IR,Bachelor
Terrorism & International Relations,IR461,3,6,Babai Multiple Campus,BA in IR,Bachelor
National Interest,IR462,3,6,Babai Multiple Campus,BA in IR,Bachelor
The Politics of Foreign Assistance,IR463,3,6,Babai Multiple Campus,BA in IR,Bachelor
Gender and International Relations,IR464,3,6,Babai Multiple Campus,BA in IR,Bachelor
Comparative Constitutions,IR465,3,6,Babai Multiple Campus,BA in IR,Bachelor
Nepal's Domestic Politics and IR,IR471,3,7,Babai Multiple Campus,BA in IR,Bachelor
The Politics of Indian Ocean,IR472,3,7,Babai Multiple Campus,BA in IR,Bachelor
Nepal Japan Relations,IR473,3,7,Babai Multiple Campus,BA in IR,Bachelor
Comp  Pol in Understanding  Int Rels,IR474,3,7,Babai Multiple Campus,BA in IR,Bachelor
Research Methodology,IR475,3,7,Babai Multiple Campus,BA in IR,Bachelor
Diplomacy,IR481,3,8,Babai Multiple Campus,BA in IR,Bachelor
Environmentalism and International Relns,IR482,3,8,Babai Multiple Campus,BA in IR,Bachelor
Emergence of Contemporary World,IR483,3,8,Babai Multiple Campus,BA in IR,Bachelor
Thesis,IR484,6,8,Babai Multiple Campus,BA in IR,Bachelor
Compulsory English I,C.ENG411,3,1,Babai Multiple Campus,BA in Development Economics ,Bachelor
Compulsory English II,C.ENG421,3,2,Babai Multiple Campus,BA in Development Economics ,Bachelor
Compulsory Nepali,C.NEP412,3,1,Babai Multiple Campus,BA in Development Economics ,Bachelor
Introductory Microeconomics,DE413,3,1,Babai Multiple Campus,BA in Development Economics ,Bachelor
Introductory Macroeconomics,DE414,3,1,Babai Multiple Campus,BA in Development Economics ,Bachelor
Microeconomics,DE422,3,2,Babai Multiple Campus,BA in Development Economics ,Bachelor
Macroeconomics,DE423,3,2,Babai Multiple Campus,BA in Development Economics ,Bachelor
Statistical Methods in Economics I,DE424,3,2,Babai Multiple Campus,BA in Development Economics ,Bachelor
Pr.Workshop&Field based Std.cum Sem.I,DE425,3,2,Babai Multiple Campus,BA in Development Economics ,Bachelor
Nepalese Economy A,DE431,3,3,Babai Multiple Campus,BA in Development Economics ,Bachelor
Statistical Methods in Economics II,DE432,3,3,Babai Multiple Campus,BA in Development Economics ,Bachelor
Governance and Development,DE433,3,3,Babai Multiple Campus,BA in Development Economics ,Bachelor
Political Economy,DE434,3,3,Babai Multiple Campus,BA in Development Economics ,Bachelor
Pr.Workshop&Field based Std.cum Sem.II,DE435,3,3,Babai Multiple Campus,BA in Development Economics ,Bachelor
Nepalese Economy B,DE441,3,4,Babai Multiple Campus,BA in Development Economics ,Bachelor
Economic Development,DE442,3,4,Babai Multiple Campus,BA in Development Economics ,Bachelor
International Economics,DE443,3,4,Babai Multiple Campus,BA in Development Economics ,Bachelor
Development Theory and Experience I,DE444,3,4,Babai Multiple Campus,BA in Development Economics ,Bachelor
Mathematical Methods in Economics I,DE445,3,4,Babai Multiple Campus,BA in Development Economics ,Bachelor
Environmental Economics,DE451,3,5,Babai Multiple Campus,BA in Development Economics ,Bachelor
Development Economics,DE452,3,5,Babai Multiple Campus,BA in Development Economics ,Bachelor
Economics of Rural Nepal I,DE453,3,5,Babai Multiple Campus,BA in Development Economics ,Bachelor
Development Theory & Experience II,DE454,3,5,Babai Multiple Campus,BA in Development Economics ,Bachelor
Mathematical Methods in Economics II,DE455,3,5,Babai Multiple Campus,BA in Development Economics ,Bachelor
Gender and Development,DE456,3,5,Babai Multiple Campus,BA in Development Economics ,Bachelor
Introductory Econometrics,DE461,3,6,Babai Multiple Campus,BA in Development Economics ,Bachelor
Developing Development Project,DE462,3,6,Babai Multiple Campus,BA in Development Economics ,Bachelor
Economics of Rural Nepal II,DE463,3,6,Babai Multiple Campus,BA in Development Economics ,Bachelor
Social Science Research Methodology,DE464,3,6,Babai Multiple Campus,BA in Development Economics ,Bachelor
Pr.Workshop&Field based Std.cum Sem.III,DE465,3,6,Babai Multiple Campus,BA in Development Economics ,Bachelor
Applied Econometrics,DE471,3,7,Babai Multiple Campus,BA in Development Economics ,Bachelor
Public Economics,DE472,3,7,Babai Multiple Campus,BA in Development Economics ,Bachelor
Micro-Finance in Economic Development,DE473,3,7,Babai Multiple Campus,BA in Development Economics ,Bachelor
Development Practice in Nepal,DE474,3,7,Babai Multiple Campus,BA in Development Economics ,Bachelor
Pr. Workshop&Field.based Std.Cum Sem IV,DE475,3,7,Babai Multiple Campus,BA in Development Economics ,Bachelor
"Society, State and Economy",DE481,3,8,Babai Multiple Campus,BA in Development Economics ,Bachelor
Sustainable Development and the Environ.,DE482,3,8,Babai Multiple Campus,BA in Development Economics ,Bachelor
Enterpreneurship,DE483,3,8,Babai Multiple Campus,BA in Development Economics ,Bachelor
Research Work,DE484,6,8,Babai Multiple Campus,BA in Development Economics ,Bachelor
Compulsory English I,C.ENG411,3,1,Babai Multiple Campus,BA in Rural Development,Bachelor
Compulsory English II,C.ENG421,3,2,Babai Multiple Campus,BA in Rural Development,Bachelor
Compulsory Nepali,C.NEP412,3,1,Babai Multiple Campus,BA in Rural Development,Bachelor
Rural Dev. Concepts and Dimensions,RD413,3,1,Babai Multiple Campus,BA in Rural Development,Bachelor
Rural Development Study,RD414,3,1,Babai Multiple Campus,BA in Rural Development,Bachelor
Rural Workshop,RD415,3,1,Babai Multiple Campus,BA in Rural Development,Bachelor
Basis on R.D. Policies & Strategies,RD422,3,2,Babai Multiple Campus,BA in Rural Development,Bachelor
Basic Microeconomics,RD423,3,2,Babai Multiple Campus,BA in Rural Development,Bachelor
Rural Workshop II,RD425,3,2,Babai Multiple Campus,BA in Rural Development,Bachelor
Sustainable Rural Development,RD431,3,3,Babai Multiple Campus,BA in Rural Development,Bachelor
Economic Development,RD432,3,3,Babai Multiple Campus,BA in Rural Development,Bachelor
Fundamentals of Governance & Development,RD433,3,3,Babai Multiple Campus,BA in Rural Development,Bachelor
Highland ecosystem,RD434,3,3,Babai Multiple Campus,BA in Rural Development,Bachelor
Rural Workshop III,RD435,3,3,Babai Multiple Campus,BA in Rural Development,Bachelor
Demography-capitals-development,RD441,3,4,Babai Multiple Campus,BA in Rural Development,Bachelor
Development and the Environment,RD442,3,4,Babai Multiple Campus,BA in Rural Development,Bachelor
Community Development & Planning,RD443,3,4,Babai Multiple Campus,BA in Rural Development,Bachelor
Rural Entrepreneurship,RD444,3,4,Babai Multiple Campus,BA in Rural Development,Bachelor
Rural Workshop IV,RD445,3,4,Babai Multiple Campus,BA in Rural Development,Bachelor
Development Discourse & Determinants,RD451,3,5,Babai Multiple Campus,BA in Rural Development,Bachelor
Rural Urban Linkage,RD452,3,5,Babai Multiple Campus,BA in Rural Development,Bachelor
Rural Environment & Economic Development,RD453,3,5,Babai Multiple Campus,BA in Rural Development,Bachelor
Fundamental of Gender & Development,RD454,3,5,Babai Multiple Campus,BA in Rural Development,Bachelor
Rural Workshop V,RD455,3,5,Babai Multiple Campus,BA in Rural Development,Bachelor
Fundamentals of English,ENG413,3,1,Babai Multiple Campus,BA in English,Bachelor
The Study of Literature,ENG414,3,1,Babai Multiple Campus,BA in English,Bachelor
Poetry,ENG415,3,1,Babai Multiple Campus,BA in English,Bachelor
The Grammar of English,ENG422,3,2,Babai Multiple Campus,BA in English,Bachelor
History of English Literature,ENG423,3,2,Babai Multiple Campus,BA in English,Bachelor
English Drama,ENG424,3,2,Babai Multiple Campus,BA in English,Bachelor
Fiction,ENG425,3,2,Babai Multiple Campus,BA in English,Bachelor
Nepalese Short Fiction in English,ENG431,3,3,Babai Multiple Campus,BA in English,Bachelor
History of English Language,ENG432,3,3,Babai Multiple Campus,BA in English,Bachelor
Literary Theory,ENG433,3,3,Babai Multiple Campus,BA in English,Bachelor
Translation Studies,ENG434,3,3,Babai Multiple Campus,BA in English,Bachelor
Literary Essay,ENG435,3,3,Babai Multiple Campus,BA in English,Bachelor
Practical Criticism,ENG441,3,4,Babai Multiple Campus,BA in English,Bachelor
Critical Thinking,ENG442,3,4,Babai Multiple Campus,BA in English,Bachelor
Prose Writing,ENG443,3,4,Babai Multiple Campus,BA in English,Bachelor
Nepali Literature in English Translation,ENG444,3,4,Babai Multiple Campus,BA in English,Bachelor
Critical Theory for Understand.Litera,ENG445,3,4,Babai Multiple Campus,BA in English,Bachelor
Literature & Language Teaching,ENG451,3,5,Babai Multiple Campus,BA in English,Bachelor
"Thinking, Reasoning & Problem Sol.Skills",ENG452,3,5,Babai Multiple Campus,BA in English,Bachelor
Creative Writing,ENG453,3,5,Babai Multiple Campus,BA in English,Bachelor
The Study of Language,ENG454,3,5,Babai Multiple Campus,BA in English,Bachelor
Basic Macroeconmics,RD461,3,6,Babai Multiple Campus,BA in Rural Development,Bachelor
Introduction to Forestry,RD462,3,6,Babai Multiple Campus,BA in Rural Development,Bachelor
Social Science Research Methodology,RD463,3,6,Babai Multiple Campus,BA in Rural Development,Bachelor
Education and Health for Development,RD464,3,6,Babai Multiple Campus,BA in Rural Development,Bachelor
Rural Workshop VI,RD465,3,6,Babai Multiple Campus,BA in Rural Development,Bachelor
Agriculture and Rural Development,RD471,3,7,Babai Multiple Campus,BA in Rural Development,Bachelor
Rural Marketing,RD472,3,7,Babai Multiple Campus,BA in Rural Development,Bachelor
Developing Development Projects,RD473,3,7,Babai Multiple Campus,BA in Rural Development,Bachelor
Rural Economy of Nepal I,RD474,3,7,Babai Multiple Campus,BA in Rural Development,Bachelor
Rural Workshop VII,RD475,3,7,Babai Multiple Campus,BA in Rural Development,Bachelor
Rural Technology and Skills,RD481,3,8,Babai Multiple Campus,BA in Rural Development,Bachelor
Microfinance for Rural Development,RD482,3,8,Babai Multiple Campus,BA in Rural Development,Bachelor
Rural Economy of Nepal II,RD483,3,8,Babai Multiple Campus,BA in Rural Development,Bachelor
Research Work,RD484,6,8,Babai Multiple Campus,BA in Rural Development,Bachelor
Compulsory English II,C.ENG421,3,2,Babai Multiple Campus,BA in English,Bachelor
Compulsory Nepali,C.NEP412,3,1,Babai Multiple Campus,BA in English,Bachelor
Compulsory English I,C.ENG411,3,1,Babai Multiple Campus,BA in English,Bachelor
"Curriculum,Measurement & Evu.in HEP",HEP455.,3,5,Babai Multiple Campus,Bachelor of Education,Bachelor
Health Service Management in Nepal,HEP461.,3,6,Babai Multiple Campus,Bachelor of Education,Bachelor
Mental Health & Drug Abuse,HEP462.,3,6,Babai Multiple Campus,Bachelor of Education,Bachelor
Occupational Health and Safety,HEP463.,3,6,Babai Multiple Campus,Bachelor of Education,Bachelor
Disaster and Emergency Management,HEP464.,3,6,Babai Multiple Campus,Bachelor of Education,Bachelor
Training & Leadership Dev. in Health Edu,HEP465.,3,6,Babai Multiple Campus,Bachelor of Education,Bachelor
School Health Program,HEP482.,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Contemporary Health Challenges,HEP483.,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Student Teaching :On Campus ,HEP484,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Student Teaching : Off Campus,HEP485,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Direct Techniques for Pop. Analysis,POP424,3,2,Babai Multiple Campus,Bachelor of Education,Bachelor
Population Policy,POP425,3,2,Babai Multiple Campus,Bachelor of Education,Bachelor
Fertility,POP433,3,3,Babai Multiple Campus,Bachelor of Education,Bachelor
Mortality,POP434,3,3,Babai Multiple Campus,Bachelor of Education,Bachelor
Migration,POP435,5,3,Babai Multiple Campus,Bachelor of Education,Bachelor
Population Dynamics in Nepal,POP443,3,4,Babai Multiple Campus,Bachelor of Education,Bachelor
Population Environment and Development,POP444,3,4,Babai Multiple Campus,Bachelor of Education,Bachelor
Population and Quality of Life,POP445,3,4,Babai Multiple Campus,Bachelor of Education,Bachelor
Ageing Education ,POP451.,3,5,Babai Multiple Campus,Bachelor of Education,Bachelor
Maternal and Child health,POP452.,3,5,Babai Multiple Campus,Bachelor of Education,Bachelor
Nutration Education,POP453.,3,5,Babai Multiple Campus,Bachelor of Education,Bachelor
Population Management,POP454.,3,5,Babai Multiple Campus,Bachelor of Education,Bachelor
Drug Abuse and its Management,POP455.,3,5,Babai Multiple Campus,Bachelor of Education,Bachelor
Child Labour ,POP463.,3,6,Babai Multiple Campus,Bachelor of Education,Bachelor
Political Demography,POP464.,3,6,Babai Multiple Campus,Bachelor of Education,Bachelor
Basic Statistics,POP465.,3,6,Babai Multiple Campus,Bachelor of Education,Bachelor
Curriculum Development in Pop. Edu.,POP472.,3,7,Babai Multiple Campus,Bachelor of Education,Bachelor
Teaching Technique & commu. in Pop. Edu.,POP473.,3,7,Babai Multiple Campus,Bachelor of Education,Bachelor
Audio Visual Aids in Population Edu.,POP474.,3,7,Babai Multiple Campus,Bachelor of Education,Bachelor
Sexual and Reproductive Health Education,POP475.,3,7,Babai Multiple Campus,Bachelor of Education,Bachelor
Community Servey,POP482.,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Information Technology and Pop. Edu.,POP483.,3,8,Babai Multiple Campus,Bachelor of Education,Bachelor
Readings in Nepali Language,COM422.,3,2,Babai Multiple Campus,Bachelor of Education,Bachelor
Emerging Theories of Learning,EDU423,3,2,Babai Multiple Campus,Bachelor of Education,Bachelor
Basic Anatomy and Physiology II,HEP424,3,2,Babai Multiple Campus,Bachelor of Education,Bachelor
Communicable Diseases Control ,HEP425,3,2,Babai Multiple Campus,Bachelor of Education,Bachelor
Educational Development in Nepal,EDU431,3,3,Babai Multiple Campus,Bachelor of Education,Bachelor
Curriculum and Assessment ,EDU432,3,3,Babai Multiple Campus,Bachelor of Education,Bachelor
Foundations of Health Promotion,HEP433,3,3,Babai Multiple Campus,Bachelor of Education,Bachelor
Demography and Health,HEP434,3,3,Babai Multiple Campus,Bachelor of Education,Bachelor
Food and Nutrition Education,HEP435,3,3,Babai Multiple Campus,Bachelor of Education,Bachelor
Social Justice in Education,EDU441,3,4,Babai Multiple Campus,Bachelor of Education,Bachelor
Fundamental of Research in Education ,EDU442,3,4,Babai Multiple Campus,Bachelor of Education,Bachelor
Fundamentals of Epidemiology,HEP443,3,4,Babai Multiple Campus,Bachelor of Education,Bachelor
Essentials of Environmental Health,HEP444,3,4,Babai Multiple Campus,Bachelor of Education,Bachelor
Reproductive Health,HEP445,3,4,Babai Multiple Campus,Bachelor of Education,Bachelor
Adolescent Health and Sexuality,HEP453.,3,5,Babai Multiple Campus,Bachelor of Education,Bachelor
Teaching Method For Health Edu.&Promo.,HEP454,3,5,Babai Multiple Campus,Bachelor of Education,Bachelor
English Language Proficiency II,COM421.,3,2,Babai Multiple Campus,Bachelor of Education,Bachelor
Fundamental of Gender & Development,RD454.,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Dissertation,MATH484.,6,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Shodhkarya,NEP484.,6,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Aadhunik Nepali Kathako Itihas,NEP425,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Prob. in Mod. Alg. II and Diff. Geometry,MATH465.,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Lebseque Measures and Integration,MATH473.,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Discrete Mathematics,MATH474.,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Research Methodolgy,MATH475.,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Problems in Topology and Number Theory,MATH483.,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Ordinary Differential Equations,MATH443,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Statistics I,MATH444,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Prob. in Mod. alg I and Ord. Diff. Equ,MATH445,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Real Analysis II,MATH452.,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Partial Differential Equations,MATH453.,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Statistics II,MATH454.,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Prob. in Adv. Calc. and Part. Diff. Equ.,MATH455.,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Modern Algebra II,MATH461.,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Numerical Methods,MATH462.,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Differential Geometry,MATH463.,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Complex Variables,MATH464.,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Human Rights,IR434,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Globalization,IR435,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Political Philosophy & Int. Relations,IR441,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Public Adm. & International Relations,IR442,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Comparative Foreign Policy,IR443,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Strategic Studies,IR444,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Nepals Foreign Policy,IR445,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Arms Control ,IR454.,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Comp  Pol in Understanding  Int Rels,IR474.,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Diplomacy,IR481.,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Environmentalism and International Relns,IR482.,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Emergence of Contemporary World,IR483,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Thesis,IR484,6,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Group Work: Working with Groups,SW422,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Psychology for Social Work,SW423,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Anthropology for Social Work,SW424,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Concurrent Field Work II,SW425,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
